Z_PK,Z_ENT,Z_OPT,Z3RECRRINTERVALS,Z_FOK_3RECRRINTERVALS,ZABSVALUEPREV,ZTIMESTAMP,ZVALUE
307,5,1,1,308224,240199.0,502544673.777813,982.0
308,5,1,1,321536,253498.0,502544686.745775,940.0
309,5,1,1,286720,221643.0,502544652.829053,836.0
310,5,1,1,334848,267381.0,502544700.212541,1263.0
311,5,1,1,300032,232324.0,502544664.799771,799.0
312,5,1,1,313344,245468.0,502544678.766232,993.0
313,5,1,1,278528,214952.0,502544646.844472,941.0
314,5,1,1,326656,258191.0,502544691.733511,989.0
315,5,1,1,291840,226000.0,502544658.815119,895.0
316,5,1,1,305152,237192.0,502544670.784921,1128.0
317,5,1,1,318464,250505.0,502544683.753946,1197.0
318,5,1,1,283648,219137.0,502544650.834172,796.0
319,5,1,1,331776,263773.0,502544697.220055,1129.0
320,5,1,1,296960,229929.0,502544662.805219,790.0
321,5,1,1,310272,242347.0,502544676.271355,1101.0
322,5,1,1,323584,255145.0,502544688.740823,874.0
323,5,1,1,288768,223259.0,502544654.824293,808.0
324,5,1,1,336896,269608.0,502544702.207591,1084.0
325,5,1,1,302080,233977.0,502544668.791474,899.0
326,5,1,1,315392,247365.0,502544680.763706,897.0
327,5,1,1,280576,216712.0,502544648.839013,860.0
328,5,1,1,328704,260298.0,502544693.728716,973.0
329,5,1,1,293888,227565.0,502544660.310772,774.0
330,5,1,1,307200,239217.0,502544672.780103,980.0
331,5,1,1,395264,324048.0,502544765.552488,1102.0
332,5,1,1,393216,321710.0,502544762.060853,839.0
333,5,1,1,391168,319910.0,502544760.564581,1101.0
334,5,1,1,389120,317887.0,502544756.075675,883.0
335,5,1,1,387072,315961.0,502544755.078198,1098.0
336,5,1,1,385024,313890.0,502544752.58419,1041.0
337,5,1,1,382976,311967.0,502544751.088585,888.0
338,5,1,1,380928,310202.0,502544749.09281,1001.0
339,5,1,1,378880,308068.0,502544747.098379,1193.0
340,5,1,1,376832,306086.0,502544744.603927,853.0
341,5,1,1,374784,304286.0,502544742.110649,855.0
342,5,1,1,372736,302488.0,502544740.613521,939.0
343,5,1,1,370688,300539.0,502544738.619229,965.0
344,5,1,1,368640,298658.0,502544736.12452,943.0
345,5,1,1,366592,296656.0,502544735.626031,1050.0
346,5,1,1,364544,294653.0,502544732.633837,912.0
347,5,1,1,362496,292887.0,502544730.638125,1002.0
348,5,1,1,360448,290823.0,502544728.642895,1039.0
349,5,1,1,358400,288781.0,502544726.647781,1018.0
350,5,1,1,356352,286812.0,502544722.657627,874.0
351,5,1,1,354304,285116.0,502544720.662589,803.0
352,5,1,1,352256,283364.0,502544719.665255,1006.0
353,5,1,1,350208,281334.0,502544716.673998,970.0
354,5,1,1,348160,279490.0,502544714.677095,886.0
355,5,1,1,346112,277791.0,502544713.6797,820.0
356,5,1,1,344064,276058.0,502544711.685433,930.0
357,5,1,1,342016,274253.0,502544709.689459,1005.0
358,5,1,1,394240,322946.0,502544764.555219,1236.0
359,5,1,1,392192,320871.0,502544762.060835,961.0
360,5,1,1,390144,318809.0,502544757.572094,922.0
361,5,1,1,388096,317004.0,502544756.075658,1043.0
362,5,1,1,386048,314863.0,502544753.083004,973.0
363,5,1,1,384000,312849.0,502544751.088612,882.0
364,5,1,1,381952,311079.0,502544750.090293,877.0
365,5,1,1,379904,309201.0,502544748.594107,1133.0
366,5,1,1,377856,306875.0,502544744.603947,789.0
367,5,1,1,375808,305233.0,502544743.107544,947.0
368,5,1,1,373760,303431.0,502544741.112222,943.0
369,5,1,1,371712,301549.0,502544739.117266,1010.0
370,5,1,1,369664,299574.0,502544737.620878,916.0
371,5,1,1,367616,297715.0,502544735.626906,1059.0
372,5,1,1,365568,295606.0,502544733.63068,953.0
373,5,1,1,363520,293741.0,502544731.63556,854.0
374,5,1,1,361472,291885.0,502544729.640526,1062.0
375,5,1,1,359424,289784.0,502544727.645452,1003.0
376,5,1,1,357376,287763.0,502544723.655032,951.0
377,5,1,1,355328,285938.0,502544721.660001,822.0
378,5,1,1,353280,284313.0,502544719.66609,949.0
379,5,1,1,351232,282358.0,502544717.669914,1024.0
380,5,1,1,349184,280364.0,502544715.674734,874.0
381,5,1,1,347136,278604.0,502544714.677078,813.0
382,5,1,1,345088,276971.0,502544712.682442,913.0
383,5,1,1,343040,275128.0,502544710.687189,875.0
384,5,1,1,340992,273248.0,502544706.696681,785.0
385,5,1,1,339968,272463.0,502544705.729751,877.0
386,5,1,1,415744,346240.0,502544786.999795,1169.0
387,5,1,1,413696,343945.0,502544785.005278,1057.0
388,5,1,1,411648,341783.0,502544783.00975,1068.0
389,5,1,1,409600,339560.0,502544781.014466,1103.0
390,5,1,1,407552,337314.0,502544778.022623,1123.0
391,5,1,1,405504,334986.0,502544776.026815,1008.0
392,5,1,1,403456,332911.0,502544774.530849,1054.0
